Package                                     Current    Wanted   Latest  Location                                                                     Depended by                                                        Package Type     Homepage                                                                                                               Depended By Location
@opentelemetry/exporter-prometheus           0.45.1    0.45.1  0.205.0  node_modules/@opentelemetry/exporter-prometheus                              profile-onboarding@npm:@athlete-ally/profile-onboarding@0.1.0      dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-exporter-prometheus   services/profile-onboarding
@opentelemetry/exporter-prometheus           0.45.1    0.45.1  0.205.0  node_modules/@opentelemetry/exporter-prometheus                              workouts@npm:@athlete-ally/workouts@1.0.0                          dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-exporter-prometheus   services/workouts
@opentelemetry/instrumentation               0.45.1    0.45.1  0.205.0  services/exercises/node_modules/@opentelemetry/instrumentation               exercises@npm:@athlete-ally/exercises@1.0.0                        dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-instrumentation       services/exercises
@opentelemetry/instrumentation               0.45.1    0.45.1  0.205.0  services/fatigue/node_modules/@opentelemetry/instrumentation                 fatigue@npm:@athlete-ally/fatigue@1.0.0                            dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-instrumentation       services/fatigue
@opentelemetry/instrumentation-fs            0.12.0    0.12.0   0.25.0  services/exercises/node_modules/@opentelemetry/instrumentation-fs            exercises@npm:@athlete-ally/exercises@1.0.0                        dependencies     https://github.com/open-telemetry/opentelemetry-js-contrib/tree/main/packages/instrumentation-fs#readme                services/exercises
@opentelemetry/instrumentation-fs            0.12.0    0.12.0   0.25.0  services/fatigue/node_modules/@opentelemetry/instrumentation-fs              fatigue@npm:@athlete-ally/fatigue@1.0.0                            dependencies     https://github.com/open-telemetry/opentelemetry-js-contrib/tree/main/packages/instrumentation-fs#readme                services/fatigue
@opentelemetry/instrumentation-http          0.45.1    0.45.1  0.205.0  services/exercises/node_modules/@opentelemetry/instrumentation-http          exercises@npm:@athlete-ally/exercises@1.0.0                        dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-instrumentation-http  services/exercises
@opentelemetry/instrumentation-http          0.45.1    0.45.1  0.205.0  services/fatigue/node_modules/@opentelemetry/instrumentation-http            fatigue@npm:@athlete-ally/fatigue@1.0.0                            dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-instrumentation-http  services/fatigue
@opentelemetry/resources                     1.30.1    1.30.1    2.1.0  node_modules/@opentelemetry/resources                                        exercises@npm:@athlete-ally/exercises@1.0.0                        dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/packages/opentelemetry-resources                          services/exercises
@opentelemetry/resources                     1.30.1    1.30.1    2.1.0  node_modules/@opentelemetry/resources                                        fatigue@npm:@athlete-ally/fatigue@1.0.0                            dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/packages/opentelemetry-resources                          services/fatigue
@opentelemetry/resources                     1.30.1    1.30.1    2.1.0  node_modules/@opentelemetry/resources                                        otel-preset@npm:@athlete-ally/otel-preset@1.0.0                    dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/packages/opentelemetry-resources                          packages/otel-preset
@opentelemetry/sdk-node                      0.45.1    0.45.1  0.205.0  node_modules/@opentelemetry/sdk-node                                         exercises@npm:@athlete-ally/exercises@1.0.0                        dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-sdk-node              services/exercises
@opentelemetry/sdk-node                      0.45.1    0.45.1  0.205.0  node_modules/@opentelemetry/sdk-node                                         fatigue@npm:@athlete-ally/fatigue@1.0.0                            dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-sdk-node              services/fatigue
@opentelemetry/sdk-node                      0.45.1    0.45.1  0.205.0  node_modules/@opentelemetry/sdk-node                                         gateway-bff@npm:@athlete-ally/gateway-bff@0.1.0                    dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-sdk-node              apps/gateway-bff
@opentelemetry/sdk-node                      0.45.1    0.45.1  0.205.0  node_modules/@opentelemetry/sdk-node                                         otel-preset@npm:@athlete-ally/otel-preset@1.0.0                    dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-sdk-node              packages/otel-preset
@opentelemetry/sdk-node                      0.45.1    0.45.1  0.205.0  node_modules/@opentelemetry/sdk-node                                         planning-engine@npm:@athlete-ally/planning-engine@0.1.0            dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-sdk-node              services/planning-engine
@opentelemetry/sdk-node                      0.45.1    0.45.1  0.205.0  node_modules/@opentelemetry/sdk-node                                         profile-onboarding@npm:@athlete-ally/profile-onboarding@0.1.0      dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-sdk-node              services/profile-onboarding
@opentelemetry/semantic-conventions          1.18.1    1.37.0   1.37.0  services/exercises/node_modules/@opentelemetry/semantic-conventions          exercises@npm:@athlete-ally/exercises@1.0.0                        dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/semantic-conventions                                      services/exercises
@opentelemetry/semantic-conventions          1.18.1    1.37.0   1.37.0  services/fatigue/node_modules/@opentelemetry/semantic-conventions            fatigue@npm:@athlete-ally/fatigue@1.0.0                            dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/semantic-conventions                                      services/fatigue
@opentelemetry/semantic-conventions          1.28.0    1.37.0   1.37.0  node_modules/@opentelemetry/semantic-conventions                             otel-preset@npm:@athlete-ally/otel-preset@1.0.0                    dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/semantic-conventions                                      packages/otel-preset
@prisma/client                               5.22.0    5.22.0   6.16.2  node_modules/@prisma/client                                                  adaptive-engine@npm:@athlete-ally/adaptive-engine@1.0.0            dependencies     https://www.prisma.io                                                                                                  services/adaptive-engine
@prisma/client                               5.22.0    5.22.0   6.16.2  node_modules/@prisma/client                                                  analytics@npm:@athlete-ally/analytics@1.0.0                        dependencies     https://www.prisma.io                                                                                                  services/analytics
@prisma/client                               5.22.0    5.22.0   6.16.2  node_modules/@prisma/client                                                  exercises@npm:@athlete-ally/exercises@1.0.0                        dependencies     https://www.prisma.io                                                                                                  services/exercises
@prisma/client                               5.22.0    5.22.0   6.16.2  node_modules/@prisma/client                                                  fatigue@npm:@athlete-ally/fatigue@1.0.0                            dependencies     https://www.prisma.io                                                                                                  services/fatigue
@prisma/client                               5.22.0    5.22.0   6.16.2  node_modules/@prisma/client                                                  planning-engine@npm:@athlete-ally/planning-engine@0.1.0            dependencies     https://www.prisma.io                                                                                                  services/planning-engine
@prisma/client                               5.22.0    5.22.0   6.16.2  node_modules/@prisma/client                                                  profile-onboarding@npm:@athlete-ally/profile-onboarding@0.1.0      dependencies     https://www.prisma.io                                                                                                  services/profile-onboarding
@prisma/client                               5.22.0    5.22.0   6.16.2  node_modules/@prisma/client                                                  protocol-engine@npm:@athlete-ally/protocol-engine@2.0.0            dependencies     https://www.prisma.io                                                                                                  services/protocol-engine
@prisma/client                               5.22.0    5.22.0   6.16.2  node_modules/@prisma/client                                                  workouts@npm:@athlete-ally/workouts@1.0.0                          dependencies     https://www.prisma.io                                                                                                  services/workouts
@swc/core                                    1.13.5   1.13.19  1.13.19  services/analytics/node_modules/@swc/core                                    analytics@npm:@athlete-ally/analytics@1.0.0                        devDependencies  https://swc.rs                                                                                                         services/analytics
@swc/core                                    1.13.5   1.13.19  1.13.19  services/exercises/node_modules/@swc/core                                    exercises@npm:@athlete-ally/exercises@1.0.0                        devDependencies  https://swc.rs                                                                                                         services/exercises
@swc/core                                    1.13.5   1.13.19  1.13.19  services/fatigue/node_modules/@swc/core                                      fatigue@npm:@athlete-ally/fatigue@1.0.0                            devDependencies  https://swc.rs                                                                                                         services/fatigue
@swc/core                                    1.13.5   1.13.19  1.13.19  services/job-scheduler/node_modules/@swc/core                                job-scheduler@npm:@athlete-ally/job-scheduler@1.0.0                devDependencies  https://swc.rs                                                                                                         services/job-scheduler
@types/express                              4.17.23   4.17.23    5.0.3  node_modules/@types/express                                                  protocol-engine@npm:@athlete-ally/protocol-engine@2.0.0            devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/express                                           services/protocol-engine
@types/jest                                 29.5.14   29.5.14   30.0.0  node_modules/@types/jest                                                     adaptive-engine@npm:@athlete-ally/adaptive-engine@1.0.0            devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest                                              services/adaptive-engine
@types/jest                                 29.5.14   29.5.14   30.0.0  node_modules/@types/jest                                                     analytics@npm:@athlete-ally/analytics@1.0.0                        devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest                                              services/analytics
@types/jest                                 29.5.14   29.5.14   30.0.0  node_modules/@types/jest                                                     contracts@npm:@athlete-ally/contracts@0.1.0                        devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest                                              packages/contracts
@types/jest                                 29.5.14   29.5.14   30.0.0  node_modules/@types/jest                                                     event-bus@npm:@athlete-ally/event-bus@0.1.0                        devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest                                              packages/event-bus
@types/jest                                 29.5.14   29.5.14   30.0.0  node_modules/@types/jest                                                     exercises@npm:@athlete-ally/exercises@1.0.0                        devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest                                              services/exercises
@types/jest                                 29.5.14   29.5.14   30.0.0  node_modules/@types/jest                                                     gateway-bff@npm:@athlete-ally/gateway-bff@0.1.0                    devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest                                              apps/gateway-bff
@types/jest                                 29.5.14   29.5.14   30.0.0  node_modules/@types/jest                                                     job-scheduler@npm:@athlete-ally/job-scheduler@1.0.0                devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest                                              services/job-scheduler
@types/jest                                 29.5.14   29.5.14   30.0.0  node_modules/@types/jest                                                     notification-service@npm:@athlete-ally/notification-service@1.0.0  devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest                                              services/notification-service
@types/jest                                 29.5.14   29.5.14   30.0.0  node_modules/@types/jest                                                     planning-engine@npm:@athlete-ally/planning-engine@0.1.0            devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest                                              services/planning-engine
@types/jest                                 29.5.14   29.5.14   30.0.0  node_modules/@types/jest                                                     profile-onboarding@npm:@athlete-ally/profile-onboarding@0.1.0      devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest                                              services/profile-onboarding
@types/jest                                 29.5.14   29.5.14   30.0.0  node_modules/@types/jest                                                     protocol-engine@npm:@athlete-ally/protocol-engine@2.0.0            devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest                                              services/protocol-engine
@types/node                                20.19.17  20.19.17   24.5.2  node_modules/@types/node                                                     adaptive-engine@npm:@athlete-ally/adaptive-engine@1.0.0            devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node                                              services/adaptive-engine
@types/node                                20.19.17  20.19.17   24.5.2  node_modules/@types/node                                                     analytics@npm:@athlete-ally/analytics@1.0.0                        devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node                                              services/analytics
@types/node                                20.19.17  20.19.17   24.5.2  node_modules/@types/node                                                     event-bus@npm:@athlete-ally/event-bus@0.1.0                        devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node                                              packages/event-bus
@types/node                                20.19.17  20.19.17   24.5.2  node_modules/@types/node                                                     exercises@npm:@athlete-ally/exercises@1.0.0                        devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node                                              services/exercises
@types/node                                20.19.17  20.19.17   24.5.2  node_modules/@types/node                                                     fatigue@npm:@athlete-ally/fatigue@1.0.0                            devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node                                              services/fatigue
@types/node                                20.19.17  20.19.17   24.5.2  node_modules/@types/node                                                     health-schema@npm:@athlete-ally/health-schema@1.0.0                devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node                                              packages/health-schema
@types/node                                20.19.17  20.19.17   24.5.2  node_modules/@types/node                                                     job-scheduler@npm:@athlete-ally/job-scheduler@1.0.0                devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node                                              services/job-scheduler
@types/node                                20.19.17  20.19.17   24.5.2  node_modules/@types/node                                                     notification-service@npm:@athlete-ally/notification-service@1.0.0  devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node                                              services/notification-service
